issue_id	bic_revision_hash
Elastic Search 1134	61ad8b614a94dabf8a263cf1edd35faa50ede36d
Elastic Search 1154	b3337c3
Elastic Search 1162	d4547c629
Elastic Search 12193	15a62448
Elastic Search 1380	adc3dc0
Elastic Search 14782	904cbf534
Elastic Search 15858	0cde90fcb10c9
Elastic Search 16246	57d6971
Elastic Search 1626	4180a7f7
Elastic Search 16790	1e209e3802
Elastic Search 1725	bd6b89f7cab39a
Elastic Search 1814	14237317fce
Elastic Search 1948	3b967040da2
Elastic Search 1960	ebd6316
Elastic Search 200	cb0d7d4
Elastic Search 2566	2442e1fb
Elastic Search 2608	167d358
Elastic Search 2991	7397007
Elastic Search 3242	05e0b4d4e
Elastic Search 3267	9bf686e
Elastic Search 3560	4930b93
Elastic Search 4581	f444ed4
Elastic Search 4814	4271d57
Elastic Search 5021	c7f6c5266
Elastic Search 5048	c7f6c52
Elastic Search 5165	3ca0239
Elastic Search 5948	b35ca1a
Elastic Search 7623	575250e
Elastic Search 764	4c34840
Elastic Search 7686	c3f3c26
Elastic Search 8125	61c21f9
Elastic Search 8438	3c9c9f33
Elastic Search 8507	3c142e5
Elastic Search 8526	5aa0a8438f
Elastic Search 8580	3c142e5
Elastic Search 864	8f32467
Elastic Search 8893	85eb0ea
Elastic Search 9317	5714b0a
