variable_id,alpha
B1,0.3243539985701146
B2,0.9901729765582726
B3,0.31134186966479194
C2.1,0.9549478989307363
C2.2,0.9599816494336028
C2.3,0.9863587152652472
C8,0.8063524590163934
C9,0.6765544780376496
C10,0.9801136363636364
C11,0.7280946476544741
C12,0.6825942477369086
C13,0.9016822429906541
C15,0.9170506912442397
C16,0.8939393939393939
C17,0.7067819148936171
C18,0.6166902404526167
C19,0.7636909227306827
C20,0.7295398665261679
C21,0.9520863965928105
C22,0.9404375135369287
F5,0.3657467803980602
F6,0.6206803455723542
F7,0.9349873650356076
I2,0.7937608318890814
I6,0.4403508771929827
I8,0.9445010759995469
ML1,1.0
ML3,0.2857142857142858
ML4,0.9333333333333333
ML6,0.3325092707045738
O1,0.8253638253638254
O2,0.72
O4,0.2823529411764707
O5,0.9259937238493724
R2,1.0
R7,0.8340483179047189
R8,0.3480083857442353
R9,0.8818532818532818
R10,0.6940874035989717
R11,0.938894277400582
